Market Prices (INR),Market Demand (tons),Market Supply (tons),Storage Cost (per ton),Transport Cost (per km),Storage Duration (months),Market Trends,Sowing Date (Month),Harvest Date (Month),Weather Condition (Month),Historical Yield Data (tons),District,Year,Intentional Storage (Yes/No),Crop Quality Rating,Government Policies,Consumer Preference,Crop Rotation,Crop Name,Price Spike,Weather Change (Yes/No),Yield Predicted by Farmer,Actual Harvested Yield,Actual Distributed Yield,Crop Type,Detailed Analysis
1620.165464,599,702,9.568172587,4.901139785,1,0,5,12,0,238.4734199,0,2005,0,3,0,1,0,4,1,0,1822.172571,830.1246221,1519.505919,0,1
1169.932791,1401,1391,13.64155737,2.839443533,2,1,1,9,2,1147.956843,0,2005,1,3,2,2,2,3,0,0,918.0217255,845.6355865,1255.283136,0,0
1080.555708,1649,1959,9.133660725,2.936264146,10,1,10,11,0,328.2569361,0,2005,1,4,0,1,2,2,1,0,865.4323854,975.391236,857.0949107,0,0
2502.608848,1845,1497,7.175943685,4.985544699,11,1,3,9,2,1952.400435,0,2005,1,8,0,2,1,4,0,0,1295.569494,464.6179111,702.7511168,0,0
1055.637999,721,736,10.07593663,2.576643945,9,0,3,12,0,1201.471174,0,2005,1,8,0,0,1,3,1,0,1462.605277,1290.754387,662.3459894,0,0
1484.140627,717,1180,8.230530248,4.628871089,4,2,8,7,0,465.1425459,0,2005,1,7,1,2,0,1,1,1,608.7844523,1599.104963,1283.651748,0,0
1387.352782,1212,931,5.950635475,1.625126548,6,2,4,4,2,636.1076544,0,2005,1,10,2,0,0,3,0,1,1141.972163,854.8165706,1307.306008,0,0
1903.572504,1423,1529,11.74613589,2.571530882,7,2,8,11,1,970.6379453,0,2005,1,7,0,2,0,4,1,0,702.314258,512.5433358,991.2519492,0,0
1308.468166,1645,1213,11.54104936,4.10302972,10,0,12,11,2,1534.92391,0,2005,1,8,0,0,0,2,0,0,1006.751023,652.4954644,538.9477337,0,0
1063.634061,1801,873,7.114436021,2.100638523,4,1,12,9,0,1930.560683,0,2005,1,7,2,1,1,3,0,1,1161.225729,939.4532047,1032.652232,0,0
1640.657804,612,558,11.3578577,1.04648681,4,0,5,10,2,1973.130749,0,2005,1,4,1,1,2,3,0,0,1040.368829,595.7011711,1014.111889,0,0
